tid;gid;sid;latitude;longitude;time;direction_inference;speed_inference_m_s;distance_inference_m;label
3;387;16;1.994;-34.866;2004-04-25 20:57:00;24.54;4.21;14154.5;STOP
3;388;16;1.884;-34.882;2004-04-25 21:44:00;16.81;4.38;12360;STOP
3;389;16;1.844;-34.876;2004-04-25 22:00:00;3.65;4.68;4497.5;STOP
3;390;16;1.756;-34.857;2004-04-25 22:36:00;0.15;4.63;10010.4;STOP
3;391;16;1.695;-34.844;2004-04-25 23:00:00;1.23;4.82;6935.08;STOP
3;392;16;1.543;-34.815;2004-04-26 00:00:00;27.26;4.78;17206.2;STOP
3;393;16;1.499;-34.828;2004-04-26 00:20:00;6.29;4.25;5101.51;STOP
3;394;16;1.468;-34.841;2004-04-26 00:34:00;2.99;4.45;3737.68;STOP
3;395;16;1.412;-34.868;2004-04-26 01:00:00;43.39;4.43;6912.48;STOP
3;396;16;1.368;-34.854;2004-04-26 01:58:00;113.77;1.48;5134.13;STOP
3;397;16;1.398;-34.82;2004-04-26 02:17:00;28.84;4.42;5041.1;STOP
3;398;16;1.49;-34.787;2004-04-26 03:00:00;8.91;4.21;10867.7;STOP
3;399;16;1.558;-34.774;2004-04-26 03:32:00;4.48;4.01;7698.1;STOP
3;400;16;1.621;-34.767;2004-04-26 04:00:00;1.15;4.2;7048.36;STOP
3;401;16;1.753;-34.755;2004-04-26 05:00:00;1.72;4.09;14738.2;STOP
3;402;16;1.786;-34.751;2004-04-26 05:15:00;1.82;4.11;3696.27;STOP
3;403;16;1.887;-34.742;2004-04-26 06:00:00;20.32;4.18;11275.1;STOP
3;404;16;2.007;-34.685;2004-04-26 07:00:00;53;4.1;14770.6;STOP
3;405;16;2.015;-34.646;2004-04-26 08:00:00;119.56;1.23;4424.28;STOP
3;406;16;1.978;-34.658;2004-04-26 08:32:00;4.65;2.25;4324.93;STOP
3;407;16;1.966;-34.663;2004-04-26 08:47:00;44.42;1.61;1445.41;STOP
3;408;16;1.951;-34.657;2004-04-26 09:00:00;3.68;2.3;1796.26;STOP
3;409;16;1.896;-34.639;2004-04-26 09:34:00;23.95;3.15;6434.56;STOP
3;410;16;1.847;-34.644;2004-04-26 10:00:00;14.15;3.51;5476.81;STOP
3;411;16;1.724;-34.626;2004-04-26 11:00:00;6.35;3.84;13822.5;STOP
3;412;16;1.682;-34.615;2004-04-26 11:22:00;2.25;3.66;4827.57;STOP
3;413;16;1.659;-34.608;2004-04-26 11:36:00;1.15;3.18;2673.21;STOP
3;414;16;1.613;-34.595;2004-04-26 12:00:00;6.66;3.69;5315.14;STOP
3;415;16;1.532;-34.582;2004-04-26 12:46:00;16.97;3.31;9121.96;STOP
3;416;16;1.503;-34.586;2004-04-26 13:00:00;3.03;3.88;3255.16;STOP
3;417;16;1.477;-34.591;2004-04-26 13:14:00;1.83;3.5;2944.01;STOP
3;418;16;1.408;-34.602;2004-04-26 14:00:00;3.75;2.81;7769.27;STOP
3;419;16;1.342;-34.617;2004-04-26 14:39:00;5.63;3.22;7525.91;STOP
3;420;16;1.318;-34.625;2004-04-26 14:53:00;80.37;3.35;2812.96;STOP
3;421;17;1.329;-34.696;2004-04-26 16:00:00;28.9;1.99;7986.95;MOVE
3;422;17;1.314;-34.737;2004-04-26 16:22:00;48.46;3.68;4853.38;MOVE
3;423;17;1.23;-34.77;2004-04-26 17:00:00;1.98;4.4;10035;MOVE
3;424;17;1.2;-34.783;2004-04-26 17:14:00;1.14;4.33;3635.45;MOVE
3;425;17;1.095;-34.831;2004-04-26 18:01:00;55.42;4.55;12837.2;MOVE
3;426;17;1.089;-34.865;2004-04-26 19:00:00;140.25;1.08;3838.37;MOVE
3;427;17;1.085;-34.858;2004-04-26 19:44:00;99.61;0.34;896.36;MOVE
3;428;17;1.115;-34.847;2004-04-26 20:00:00;25.33;3.7;3552.94;MOVE
3;429;17;1.192;-34.854;2004-04-26 20:35:00;14.53;4.09;8597.3;MOVE
3;430;17;1.245;-34.873;2004-04-26 21:00:00;1.78;4.17;6260.42;MOVE
3;431;18;1.278;-34.886;2004-04-26 21:17:00;4.98;3.87;3943.77;STOP
3;432;18;1.369;-34.913;2004-04-26 22:00:00;3.36;4.09;10554.5;STOP
3;433;18;1.416;-34.93;2004-04-26 22:23:00;27.74;4.03;5557.33;STOP
3;434;18;1.468;-34.987;2004-04-26 23:00:00;27.72;3.86;8577.84;STOP
3;435;18;1.584;-35.029;2004-04-26 23:57:00;11.42;4.01;13717.5;STOP
3;436;18;1.699;-35.099;2004-04-27 01:00:00;4.51;3.96;14968.4;STOP
3;437;18;1.753;-35.138;2004-04-27 01:31:00;18.82;3.98;7405.63;STOP
3;438;18;1.792;-35.193;2004-04-27 02:04:00;155.28;3.79;7494.82;STOP
3;439;18;1.789;-35.177;2004-04-27 03:00:00;18.19;0.54;1809.27;STOP
3;440;18;1.767;-35.137;2004-04-27 03:19:00;10.99;4.45;5074.27;STOP
3;441;18;1.702;-35.059;2004-04-27 04:00:00;15.17;4.59;11286.9;STOP
3;442;18;1.585;-34.977;2004-04-27 04:58:00;10.24;4.56;15884.7;STOP
3;443;18;1.477;-34.868;2004-04-27 06:00:00;4.78;4.59;17059.1;STOP
3;444;18;1.384;-34.757;2004-04-27 07:00:00;2.08;4.47;16099.2;STOP
3;445;18;1.342;-34.703;2004-04-27 07:28:00;15.4;4.53;7605.56;STOP
3;446;18;1.279;-34.656;2004-04-27 08:00:00;22.1;4.55;8739.13;STOP
3;447;18;1.256;-34.65;2004-04-27 08:10:00;23.5;4.41;2643.03;STOP
3;448;18;1.224;-34.655;2004-04-27 09:00:00;161.25;1.2;3601.39;STOP
3;449;18;1.247;-34.659;2004-04-27 09:20:00;23.04;2.16;2595.85;STOP
3;450;18;1.281;-34.681;2004-04-27 09:57:00;7.89;2.03;4502.73;STOP
3;451;18;1.354;-34.744;2004-04-27 11:07:00;26.17;2.55;10720.9;STOP
3;452;18;1.423;-34.762;2004-04-27 12:00:00;9.06;2.49;7929.07;STOP
3;453;18;1.48;-34.787;2004-04-27 12:37:00;3.44;3.12;6920.58;STOP
3;454;18;1.521;-34.808;2004-04-27 13:00:00;7.5;3.71;5121.85;STOP
3;455;18;1.605;-34.866;2004-04-27 14:00:00;7.89;3.15;11349.2;STOP
3;456;18;1.617;-34.877;2004-04-27 14:11:00;2.49;2.74;1809.8;STOP
3;457;18;1.654;-34.914;2004-04-27 14:44:00;3.37;2.94;5817.19;STOP
3;458;18;1.67;-34.932;2004-04-27 15:00:00;3.48;2.79;2677.3;STOP
3;459;18;1.692;-34.96;2004-04-27 16:00:00;78.76;1.1;3958.49;STOP
3;460;19;1.68;-34.974;2004-04-27 16:13:00;13.56;2.63;2049.82;MOVE
3;461;19;1.608;-35.026;2004-04-27 17:00:00;2.91;3.5;9874.32;MOVE
3;462;19;1.532;-35.087;2004-04-27 17:43:00;18.66;4.2;10834.6;MOVE
3;463;19;1.491;-35.102;2004-04-27 18:00:00;4.88;4.76;4854.32;MOVE
3;464;19;1.355;-35.139;2004-04-27 19:00:00;4.07;4.35;15671.8;MOVE
3;465;19;1.315;-35.153;2004-04-27 19:18:00;0.68;4.36;4712.22;MOVE
3;466;19;1.217;-35.186;2004-04-27 20:00:00;6.87;4.56;11498;MOVE
3;467;20;1.089;-35.247;2004-04-27 21:01:00;27.63;4.31;15766;STOP
3;468;20;0.956;-35.242;2004-04-27 22:00:00;24.41;4.18;14799.4;STOP
3;469;20;0.932;-35.23;2004-04-27 22:11:00;0.4;4.52;2983.59;STOP
3;470;20;0.816;-35.173;2004-04-27 23:00:00;5.31;4.89;14371.4;STOP
3;471;20;0.732;-35.141;2004-04-27 23:36:00;69.22;4.63;9995.07;STOP
3;472;20;0.692;-35.186;2004-04-28 00:00:00;7.55;4.65;6694.53;STOP
3;473;20;0.582;-35.281;2004-04-28 01:00:00;1.89;4.49;16161.1;STOP
3;474;20;0.556;-35.302;2004-04-28 01:14:00;23.43;4.42;3716.23;STOP
3;475;20;0.455;-35.33;2004-04-28 02:00:00;122.07;4.22;11654.2;STOP
3;476;20;0.494;-35.199;2004-04-28 03:00:00;39.04;4.22;15197.9;STOP
3;477;20;0.513;-35.186;2004-04-28 03:16:00;14.08;2.67;2559.87;STOP
3;478;20;0.586;-35.159;2004-04-28 04:00:00;9.72;3.28;8654.6;STOP
3;479;20;0.661;-35.145;2004-04-28 04:45:00;0.45;3.14;8483.65;STOP
3;480;20;0.689;-35.14;2004-04-28 05:00:00;0.44;3.51;3162.7;STOP
3;481;20;0.73;-35.133;2004-04-28 05:23:00;2.78;3.35;4624.95;STOP
3;482;20;0.796;-35.125;2004-04-28 06:00:00;18.43;3.33;7392.57;STOP
3;483;20;0.904;-35.147;2004-04-28 07:00:00;56.51;3.4;12255.6;STOP
3;484;20;0.919;-35.132;2004-04-28 07:48:00;59.04;0.82;2358.65;STOP
3;485;20;0.918;-35.128;2004-04-28 08:00:00;14.49;0.64;458.41;STOP
3;486;20;0.893;-35.082;2004-04-28 08:45:00;29.61;2.16;5821;STOP
3;487;20;0.856;-35.059;2004-04-28 09:08:00;6.59;3.51;4844.17;STOP
3;488;20;0.82;-35.042;2004-04-28 09:31:00;7.9;3.21;4426.81;STOP
3;489;20;0.794;-35.025;2004-04-28 10:00:00;8.67;1.99;3454.11;STOP
3;490;20;0.726;-34.994;2004-04-28 10:47:00;1.01;2.95;8309.79;STOP
3;491;20;0.703;-34.984;2004-04-28 11:00:00;15.2;3.58;2788.72;STOP
3;492;20;0.607;-34.97;2004-04-28 12:02:00;57.76;2.9;10787.6;STOP
3;493;20;0.548;-35.039;2004-04-28 13:00:00;14.48;2.9;10094.6;STOP
3;494;20;0.488;-35.081;2004-04-28 13:48:00;10.55;2.83;8143.73;STOP
3;495;20;0.466;-35.091;2004-04-28 14:00:00;15.85;3.73;2687.13;STOP
3;496;20;0.38;-35.104;2004-04-28 15:00:00;49.2;2.69;9671.4;STOP
3;497;20;0.31;-35.044;2004-04-28 16:00:00;94.4;2.85;10251.6;STOP
3;498;20;0.336;-35.018;2004-04-28 17:00:00;148.34;1.14;4088.56;STOP
3;499;21;0.313;-35.115;2004-04-28 17:43:00;1.46;4.3;11084.8;MOVE
3;500;21;0.299;-35.168;2004-04-28 18:07:00;2.83;4.23;6095.39;MOVE
3;501;22;0.274;-35.286;2004-04-28 19:00:00;80.46;4.22;13412.1;STOP
3;502;22;0.34;-35.312;2004-04-28 19:45:00;38.36;2.92;7887.77;STOP
3;503;22;0.373;-35.302;2004-04-28 20:00:00;5.07;4.26;3834.2;STOP
3;504;22;0.45;-35.271;2004-04-28 20:37:00;2.77;4.16;9229.82;STOP
3;505;22;0.5;-35.248;2004-04-28 21:00:00;0.33;4.43;6119.73;STOP
3;506;22;0.628;-35.19;2004-04-28 22:00:00;2.19;4.34;15625.8;STOP
3;507;22;0.65;-35.179;2004-04-28 22:11:00;3.31;4.14;2735;STOP
3;508;22;0.771;-35.127;2004-04-28 23:08:00;31.07;4.28;14644.2;STOP
3;509;22;0.822;-35.134;2004-04-28 23:31:00;14.8;4.15;5724.1;STOP
13;0;1;-8.058;-34.868;2004-07-10 11:00:00;0;0;0;MOVE
13;1;1;-8.057;-34.868;2004-07-10 11:14:00;62.2415;0.132375;111.195;MOVE
13;2;1;-8.037;-34.83;2004-07-10 12:00:00;3.96506;1.71672;4738.14;MOVE
13;3;1;-7.969;-34.72;2004-07-10 12:58:00;20.5088;4.10307;14278.7;MOVE
13;4;1;-7.858;-34.634;2004-07-10 14:00:00;11.7833;4.18228;15558.1;MOVE
13;5;1;-7.739;-34.576;2004-07-10 15:00:00;6.48192;4.08172;14694.2;MOVE
13;6;1;-7.691;-34.559;2004-07-10 15:23:00;2.03853;4.09893;5656.52;MOVE
13;7;1;-7.615;-34.529;2004-07-10 16:00:00;1.76996;4.08762;9074.51;MOVE
13;8;1;-7.492;-34.476;2004-07-10 17:00:00;0.187631;4.13125;14872.5;MOVE
13;9;1;-7.469;-34.466;2004-07-10 17:12:00;0.509849;3.86805;2784.99;MOVE
13;10;1;-7.37;-34.424;2004-07-10 18:00:00;1.18731;4.14679;11942.8;MOVE
13;11;1;-7.345;-34.414;2004-07-10 18:13:00;4.41444;3.83414;2990.63;MOVE
13;12;1;-7.246;-34.383;2004-07-10 19:00:00;16.2958;4.08761;11527.1;MOVE
13;13;1;-7.141;-34.381;2004-07-10 19:48:00;3.06615;4.05471;11677.6;MOVE
13;14;1;-7.112;-34.382;2004-07-10 20:00:00;1.97493;4.48131;3226.54;MOVE
13;15;1;-7.087;-34.382;2004-07-10 20:12:00;1.01398;3.86093;2779.87;MOVE
13;16;1;-6.974;-34.384;2004-07-10 21:00:00;3.01428;4.36353;12567;MOVE
13;17;1;-6.903;-34.389;2004-07-10 21:31:00;2.63108;4.2549;7914.11;MOVE
13;18;1;-6.862;-34.39;2004-07-10 21:50:00;1.5574;4.00029;4560.33;MOVE
13;19;1;-6.707;-34.398;2004-07-10 23:00:00;0.465027;4.10901;17257.8;MOVE
13;20;1;-6.684;-34.399;2004-07-10 23:11:00;0.368457;3.87859;2559.87;MOVE
13;21;1;-6.576;-34.403;2004-07-11 00:00:00;7.63133;4.08747;12017.2;MOVE
13;22;1;-6.448;-34.425;2004-07-11 01:00:00;2.05001;4.01083;14439;MOVE
13;23;1;-6.381;-34.439;2004-07-11 01:33:00;2.02003;3.84292;7608.98;MOVE
13;24;1;-6.323;-34.449;2004-07-11 02:00:00;1.78756;4.03908;6543.31;MOVE
13;25;1;-6.196;-34.475;2004-07-11 03:00:00;0.499769;4.00311;14411.2;MOVE
13;26;1;-6.058;-34.502;2004-07-11 04:08:00;3.94519;3.83151;15632.6;MOVE
13;27;1;-6.026;-34.506;2004-07-11 04:23:00;1.62115;3.98403;3585.62;MOVE
13;28;1;-5.948;-34.518;2004-07-11 05:00:00;0.0391365;3.95232;8774.14;MOVE
13;29;1;-5.838;-34.535;2004-07-11 05:53:00;0.157946;3.89155;12375.1;MOVE
13;30;1;-5.693;-34.557;2004-07-11 07:00:00;0.185548;4.0562;16305.9;MOVE
13;31;1;-5.564;-34.577;2004-07-11 08:00:00;0.304961;4.03163;14513.9;MOVE
13;32;1;-5.483;-34.59;2004-07-11 08:38:00;3.21172;4.00043;9120.99;MOVE
13;33;1;-5.454;-34.593;2004-07-11 08:52:00;0.646414;3.85917;3241.71;MOVE
13;34;1;-5.306;-34.61;2004-07-11 10:00:00;0.212363;4.05983;16564.1;MOVE
13;35;1;-5.252;-34.616;2004-07-11 10:26:00;0.784825;3.87254;6041.17;MOVE
13;36;1;-5.18;-34.625;2004-07-11 11:00:00;0.436412;3.95482;8067.83;MOVE
13;37;1;-5.067;-34.64;2004-07-11 11:56:00;1.78324;3.77213;12674.4;MOVE
13;38;1;-4.988;-34.653;2004-07-11 12:33:00;0.437735;4.00975;8901.64;MOVE
13;39;1;-4.93;-34.663;2004-07-11 13:00:00;1.07401;4.03936;6543.76;MOVE
13;40;1;-4.784;-34.691;2004-07-11 14:08:00;0.358501;4.05103;16528.2;MOVE
13;41;1;-4.668;-34.714;2004-07-11 15:00:00;10.853;4.21411;13148;MOVE
13;42;1;-4.631;-34.729;2004-07-11 15:18:00;4.49715;4.10869;4437.39;MOVE
13;43;1;-4.543;-34.773;2004-07-11 16:00:00;2.98511;4.33855;10933.1;MOVE
13;44;1;-4.416;-34.845;2004-07-11 17:02:00;0.576031;4.36056;16221.3;MOVE
13;45;1;-4.295;-34.912;2004-07-11 18:00:00;0.300986;4.41641;15369.1;MOVE
13;46;1;-4.167;-34.982;2004-07-11 19:00:00;0.198943;4.50336;16212.1;MOVE
13;47;1;-4.108;-35.014;2004-07-11 19:28:00;0.265592;4.43983;7458.91;MOVE
13;48;1;-4.077;-35.031;2004-07-11 19:42:00;1.32879;4.6774;3929.02;MOVE
13;49;1;-4.039;-35.053;2004-07-11 20:00:00;1.20586;4.51795;4879.39;MOVE
13;50;1;-3.912;-35.123;2004-07-11 21:00:00;2.46597;4.4766;16115.8;MOVE
13;51;1;-3.889;-35.137;2004-07-11 21:12:00;0.949567;4.15575;2992.14;MOVE
13;52;1;-3.86;-35.154;2004-07-11 21:26:00;2.55503;4.44725;3735.69;MOVE
13;53;1;-3.788;-35.192;2004-07-11 22:00:00;0.881856;4.43543;9048.27;MOVE
13;54;1;-3.662;-35.261;2004-07-11 23:00:00;1.91265;4.43501;15966;MOVE
13;55;1;-3.613;-35.29;2004-07-11 23:24:00;0.873724;4.39443;6327.97;MOVE
13;56;1;-3.536;-35.334;2004-07-12 00:00:00;0.0906578;4.56323;9856.58;MOVE
13;57;1;-3.4;-35.412;2004-07-12 01:08:00;0.488068;4.2709;17425.3;MOVE
13;58;1;-3.294;-35.474;2004-07-12 02:00:00;1.96865;4.37464;13648.9;MOVE
13;59;1;-3.168;-35.542;2004-07-12 03:00:00;0.324074;4.42083;15915;MOVE
13;60;1;-3.051;-35.606;2004-07-12 03:58:00;0.699562;4.25976;14824;MOVE
13;61;1;-2.923;-35.674;2004-07-12 05:00:00;1.24858;4.33116;16111.9;MOVE
13;62;2;-2.839;-35.721;2004-07-12 05:41:00;2.663;4.34952;10699.8;STOP
13;63;2;-2.799;-35.741;2004-07-12 06:00:00;2.86241;4.36104;4971.59;STOP
13;64;2;-2.76;-35.763;2004-07-12 06:19:00;0.136094;4.3663;4977.59;STOP
13;65;2;-2.678;-35.809;2004-07-12 07:00:00;1.08776;4.24873;10451.9;STOP
13;66;2;-2.562;-35.877;2004-07-12 07:58:00;5.03295;4.29525;14947.5;STOP
13;67;2;-2.524;-35.895;2004-07-12 08:17:00;8.41866;4.10056;4674.64;STOP
13;68;2;-2.432;-35.923;2004-07-12 09:00:00;2.89127;4.14433;10692.4;STOP
13;69;2;-2.296;-35.957;2004-07-12 10:05:00;1.66718;3.9967;15587.1;STOP
13;70;2;-2.182;-35.982;2004-07-12 11:00:00;1.24512;3.93242;12977;STOP
13;71;2;-2.054;-36.013;2004-07-12 12:00:00;1.23343;4.06774;14643.9;STOP
13;72;2;-1.931;-36.04;2004-07-12 13:00:00;0.2718;3.88951;14002.2;STOP
13;73;2;-1.833;-36.062;2004-07-12 13:46:00;1.34262;4.04638;11168;STOP
13;74;2;-1.803;-36.068;2004-07-12 14:00:00;41.4736;4.04982;3401.84;STOP
13;75;2;-1.743;-36.147;2004-07-12 15:07:00;93.22;2.74313;11027.4;STOP
13;76;2;-1.829;-36.205;2004-07-12 16:00:00;9.26915;3.62659;11532.5;STOP
13;77;2;-1.905;-36.24;2004-07-12 16:50:00;37.1605;3.10101;9303.04;STOP
13;78;2;-2.032;-36.212;2004-07-12 18:00:00;6.90157;3.44298;14460.5;STOP
13;79;2;-2.089;-36.192;2004-07-12 18:29:00;1.80924;3.86004;6716.47;STOP
13;80;2;-2.165;-36.168;2004-07-12 19:06:00;3.48932;3.99172;8861.62;STOP
13;81;2;-2.193;-36.161;2004-07-12 19:20:00;6.57568;3.82041;3209.14;STOP
13;82;2;-2.277;-36.15;2004-07-12 20:00:00;6.37429;3.925;9420;STOP
13;83;2;-2.411;-36.117;2004-07-12 21:08:00;1.66339;3.76092;15344.6;STOP
13;84;2;-2.513;-36.095;2004-07-12 22:00:00;122.155;3.71866;11602.2;STOP
13;85;2;-2.509;-36.106;2004-07-12 22:47:00;37.2817;0.461135;1300.4;STOP
13;86;2;-2.495;-36.115;2004-07-12 23:02:00;48.0685;2.05571;1850.14;STOP
13;87;2;-2.433;-36.098;2004-07-13 00:00:00;25.7091;2.05405;7148.08;STOP
13;88;2;-2.362;-36.111;2004-07-13 00:46:00;12.4969;2.90792;8025.86;STOP
13;89;2;-2.335;-36.11;2004-07-13 01:00:00;7.59019;3.57657;3004.32;STOP
13;90;2;-2.241;-36.119;2004-07-13 02:00:00;11.8849;2.91668;10500;STOP
13;91;2;-2.209;-36.129;2004-07-13 02:20:00;0.258553;3.1064;3727.68;STOP
13;92;2;-2.146;-36.149;2004-07-13 03:00:00;28.1861;3.06222;7349.32;STOP
13;93;2;-2.071;-36.135;2004-07-13 03:45:00;10.464;3.14203;8483.48;STOP
13;94;2;-2.045;-36.125;2004-07-13 04:00:00;8.23324;3.44142;3097.27;STOP
13;95;2;-1.957;-36.105;2004-07-13 05:00:00;24.263;2.78733;10034.4;STOP
13;96;2;-1.883;-36.12;2004-07-13 05:34:00;0.417812;4.11548;8395.58;STOP
13;97;2;-1.842;-36.128;2004-07-13 05:46:00;146.041;6.45122;4644.88;STOP
13;98;2;-1.853;-36.117;2004-07-13 06:00:00;14.7968;2.05874;1729.34;STOP
13;99;2;-1.92;-36.078;2004-07-13 07:00:00;157.927;2.3942;8619.11;STOP
13;100;2;-1.864;-36.086;2004-07-13 07:37:00;10.756;2.83336;6290.07;STOP
13;101;2;-1.826;-36.099;2004-07-13 08:00:00;6.16489;3.23593;4465.59;STOP
13;102;2;-1.734;-36.142;2004-07-13 09:00:00;40.3589;3.13644;11291.2;STOP
13;103;2;-1.707;-36.201;2004-07-13 09:44:00;73.9888;2.73187;7212.14;STOP
13;104;2;-1.728;-36.219;2004-07-13 10:00:00;34.464;3.20304;3074.91;STOP
13;105;2;-1.821;-36.229;2004-07-13 11:00:00;51.4629;2.88908;10400.7;STOP
13;106;2;-1.854;-36.281;2004-07-13 11:32:00;107.795;3.56546;6845.69;STOP
13;107;2;-1.859;-36.275;2004-07-13 11:47:00;166.759;0.964657;868.191;STOP
13;108;2;-1.857;-36.279;2004-07-13 12:00:00;34.6952;0.637269;497.07;STOP
13;109;2;-1.866;-36.342;2004-07-13 13:00:00;105.983;1.96465;7072.74;STOP
13;110;2;-1.837;-36.338;2004-07-13 13:21:00;6.68114;2.58345;3255.15;STOP
13;111;2;-1.756;-36.317;2004-07-13 14:00:00;2.4397;3.97619;9304.28;STOP
13;112;2;-1.63;-36.29;2004-07-13 15:00:00;18.4349;3.9801;14328.3;STOP
13;113;2;-1.504;-36.304;2004-07-13 16:00:00;48.7205;3.91575;14096.7;STOP
13;114;2;-1.453;-36.377;2004-07-13 16:40:00;67.2868;4.1249;9899.75;STOP
13;115;2;-1.472;-36.407;2004-07-13 17:00:00;43.2826;3.28973;3947.68;STOP
13;116;2;-1.593;-36.438;2004-07-13 18:00:00;4.36202;3.85801;13888.8;STOP
13;117;2;-1.678;-36.453;2004-07-13 18:42:00;8.53918;3.80853;9597.49;STOP
13;118;2;-1.717;-36.454;2004-07-13 19:00:00;9.5989;4.01669;4338.03;STOP
13;119;2;-1.836;-36.437;2004-07-13 20:00:00;15.2986;3.71289;13366.4;STOP
13;120;2;-1.866;-36.424;2004-07-13 20:17:00;0.912397;3.564;3635.28;STOP
13;121;2;-1.908;-36.405;2004-07-13 20:40:00;1.56542;3.71403;5125.36;STOP
13;122;2;-1.943;-36.388;2004-07-13 21:00:00;45.0855;3.60512;4326.15;STOP
13;123;2;-1.989;-36.404;2004-07-13 22:00:00;91.0459;1.50422;5415.2;STOP
13;124;2;-1.982;-36.423;2004-07-13 23:00:00;1.78991;0.625093;2250.34;STOP
23;1289;38;0.768;-36.951;2004-08-15 01:00:00;69.5005;1.99707;7309.29;STOP
23;1290;38;0.748;-36.921;2004-08-15 01:33:00;35.2724;2.02472;4008.95;STOP
23;1291;38;0.709;-36.906;2004-08-15 02:00:00;21.0375;2.86806;4646.25;STOP
23;1292;38;0.601;-36.906;2004-08-15 03:00:00;4.01418;3.33585;12009.1;STOP
23;1293;39;0.544;-36.902;2004-08-15 04:00:00;1.72357;1.76492;6353.7;MOVE
23;1294;39;0.519;-36.901;2004-08-15 04:14:00;11.7456;3.31202;2782.1;MOVE
23;1295;39;0.451;-36.884;2004-08-15 05:00:00;8.16724;2.82389;7793.95;MOVE
23;1296;39;0.402;-36.864;2004-08-15 05:44:00;15.1005;2.22913;5884.91;MOVE
23;1297;39;0.381;-36.848;2004-08-15 06:03:00;64.6278;2.57509;2935.61;MOVE
23;1298;39;0.321;-36.879;2004-08-15 07:00:00;27.3239;2.19577;7509.54;MOVE
23;1299;40;0.257;-36.879;2004-08-15 07:32:00;11.7251;3.7065;7116.48;STOP
23;1300;40;0.204;-36.868;2004-08-15 08:00:00;1.94271;3.58269;6018.92;STOP
23;1301;40;0.175;-36.863;2004-08-15 08:15:00;7.89422;3.63581;3272.23;STOP
23;1302;40;0.084;-36.86;2004-08-15 09:00:00;14.2956;3.74972;10124.2;STOP
23;1303;40;0.034;-36.871;2004-08-15 09:25:00;1.6943;3.79513;5692.7;STOP
23;1304;40;-0.04;-36.885;2004-08-15 10:00:00;130.589;3.9878;8374.39;STOP
